ユーザー,日付,種別,カテゴリ,項目,金額
admin,2026-09-11,支出,外食費,ランチ,1500
admin,2026-08-03,支出,外食費,ランチ,1200
admin,2026-08-04,支出,外食費,ランチ,700
admin,2026-08-05,支出,外食費,ランチ,1200
admin,2026-08-07,支出,外食費,飲み会,3000
admin,2026-08-07,支出,外食費,ランチ,1200
admin,2026-08-11,支出,外食費,ランチ,1200
admin,2026-08-12,支出,外食費,ランチ,700
admin,2026-08-13,支出,外食費,ランチ,1200
admin,2026-08-17,支出,外食費,ランチ,1200
admin,2026-08-20,支出,外食費,ランチ,700
admin,2026-08-20,収入,副業,アルバイト,50000
admin,2026-08-20,支出,通信費,携帯,4000
admin,2026-08-25,収入,給与,会社A,200000
admin,2026-08-25,支出,外食費,ランチ,1200
admin,2026-08-26,支出,外食費,ランチ,700
admin,2026-08-27,支出,外食費,ランチ,1200
admin,2026-08-28,支出,外食費,ランチ,700
admin,2026-08-28,支出,外食費,飲み会,3000
admin,2026-08-28,支出,医療費,耳鼻科,4000
admin,2026-08-28,支出,医療費,アートメイク,110000
admin,2026-09-01,支出,外食費,ランチ,1200
admin,2026-09-20,収入,給与,会社A,200000
