ユーザー,日付,種別,カテゴリ,項目,金額
nakano,2026-09-01,支出,外食費,ランチ,1200
nakano,2026-09-03,支出,外食費,ランチ,1200
nakano,2026-09-07,支出,外食費,ランチ,1200
nakano,2026-09-09,支出,外食費,ランチ,1200
nakano,2026-09-11,支出,外食費,ランチ,1200
nakano,2026-09-15,支出,外食費,ランチ,1200
nakano,2026-08-04,支出,外食費,ランチ,1200
nakano,2026-08-06,支出,外食費,ランチ,1200
nakano,2026-08-10,支出,外食費,ランチ,1200
nakano,2026-08-12,支出,外食費,ランチ,1200
nakano,2026-08-14,支出,外食費,ランチ,1200
nakano,2026-08-14,支出,外食費,ランチ,1200
nakano,2026-08-18,支出,外食費,ランチ,1200
nakano,2026-08-20,支出,外食費,ランチ,1200
nakano,2026-08-24,支出,外食費,ランチ,1200
nakano,2026-08-26,支出,外食費,ランチ,1200
nakano,2026-08-28,支出,外食費,ランチ,1200
nakano,2026-08-24,収入,給与,会社A,180000
nakano,2026-08-24,支出,交通費,定期代,80000
nakano,2026-08-08,支出,旅費,ホテル、交通手段,30000
